age,birthday,collection_day,contract_until,feet,height,id,joined_in,market_value,name,shirt_number,team_name
31,13/12/1987,2019/04/25,31.12.2022,direito,189,69400,01/01/2018,3.00,Wéverton,21,Sociedade Esportiva Palmeiras
37,20/07/1981,2019/04/25,31.12.2020,direito,186,112940,02/10/2014,0.75,Jaílson,42,Sociedade Esportiva Palmeiras
40,09/07/1978,2019/04/25,31.12.2019,direito,191,31315,01/01/2013,0.5,Fernando Prass,1,Sociedade Esportiva Palmeiras
20,08/03/1999,2019/04/25,31.07.2019,,,598975,,0.05,Matheus Teixeira,51,Sociedade Esportiva Palmeiras
25,06/05/1993,2019/04/25,30.06.2019,direito,185,215390,02/08/2018,3.50,Gustavo Gómez,15,Sociedade Esportiva Palmeiras
25,10/05/1993,2019/04/25,31.03.2022,direito,186,178984,05/04/2017,2.00,Luan,13,Sociedade Esportiva Palmeiras
26,07/03/1993,2019/04/25,30.06.2023,direito,191,207446,27/07/2018,2.00,Antônio Carlos,25,Sociedade Esportiva Palmeiras
24,02/01/1995,2019/04/25,30.04.2022,esquerdo,187,383638,16/05/2017,1.00,Juninho,34,Sociedade Esportiva Palmeiras
37,18/05/1981,2019/04/25,31.12.2019,direito,187,15419,01/01/2016,0.7,Edú Dracena,3,Sociedade Esportiva Palmeiras
26,17/08/1992,2019/04/25,31.12.2023,esquerdo,179,167724,01/01/2018,2.75,Diogo Barbosa,6,Sociedade Esportiva Palmeiras
25,23/06/1993,2019/04/25,31.12.2022,esquerdo,180,234538,01/07/2013,2.00,Victor Luis,26,Sociedade Esportiva Palmeiras
18,02/02/2001,2019/04/25,18.09.2020,esquerdo,187,432166,,,Luan Cândido,36,Sociedade Esportiva Palmeiras
30,11/12/1988,2019/04/25,31.12.2022,direito,176,75435,10/01/2019,2.50,Marcos Rocha,2,Sociedade Esportiva Palmeiras
26,10/11/1992,2019/04/25,31.12.2023,direito,178,147361,01/01/2019,2.00,Mayke,12,Sociedade Esportiva Palmeiras
32,24/06/1986,2019/04/25,31.12.2019,direito,170,69641,15/01/2016,2.00,Jean,17,Sociedade Esportiva Palmeiras
27,18/11/1991,2019/04/25,31.12.2021,direito,188,271335,11/01/2017,1.25,Fabiano,32,Sociedade Esportiva Palmeiras
29,05/09/1989,2019/04/25,31.12.2022,direito,181,346922,24/08/2015,1.25,Thiago Santos,5,Sociedade Esportiva Palmeiras
35,26/06/1983,2019/04/25,31.12.2019,direito,183,35537,01/07/2017,1.00,Felipe Melo,30,Sociedade Esportiva Palmeiras
23,13/05/1995,2019/04/25,31.12.2020,direito,178,407654,01/10/2015,0.7,Matheus Sales,,Sociedade Esportiva Palmeiras
19,09/12/1999,2019/04/25,31.12.2022,direito,182,520626,,0.05,Gabriel Furtado,45,Sociedade Esportiva Palmeiras
29,21/10/1989,2019/04/25,31.12.2023,direito,180,277335,21/06/2017,4.50,Bruno Henrique,19,Sociedade Esportiva Palmeiras
20,30/06/1998,2019/04/25,31.12.2023,direito,183,351892,01/01/2019,4.00,Matheus Fernandes,35,Sociedade Esportiva Palmeiras
31,17/03/1988,2019/04/25,31.12.2020,direito,184,128822,01/01/2016,3.50,Moisés,10,Sociedade Esportiva Palmeiras
23,19/06/1995,2019/04/25,25.12.2021,esquerdo,176,432953,19/12/2016,2.00,Raphael Veiga,23,Sociedade Esportiva Palmeiras
27,07/01/1992,2019/04/25,31.12.2023,direito,166,114937,11/01/2015,15.00,Dudu,7,Sociedade Esportiva Palmeiras
24,10/04/1995,2019/04/25,,direito,181,387928,01/01/2016,0.6,Lucas Taylor,,Sociedade Esportiva Palmeiras
25,05/01/1994,2019/04/25,15.01.2022,esquerdo,177,330085,27/06/2018,8.00,Gustavo Scarpa,14,Sociedade Esportiva Palmeiras
28,09/07/1990,2019/04/25,31.12.2022,esquerdo,176,232847,01/01/2018,8.00,Lucas Lima,20,Sociedade Esportiva Palmeiras
25,16/06/1993,2019/04/25,31.12.2023,direito,175,225432,01/01/2019,3.50,Zé Rafael,8,Sociedade Esportiva Palmeiras
25,25/05/1993,2019/04/25,25.12.2020,direito,174,338861,19/12/2016,1.25,Hyoran,28,Sociedade Esportiva Palmeiras
33,09/07/1985,2019/04/25,31.12.2019,direito,172,72540,01/01/2017,0.9,Alejandro Guerra,18,Sociedade Esportiva Palmeiras
21,24/03/1998,2019/04/25,25.04.2021,direito,176,323944,01/01/2017,0.5,Vitinho,,Sociedade Esportiva Palmeiras
24,06/03/1995,2019/04/25,20.03.2019,esquerdo,171,394417,,0.15,Gabriel Leite,,Sociedade Esportiva Palmeiras
24,18/04/1995,2019/04/25,31.12.2019,direito,178,327911,01/01/2019,1.50,Felipe Pires,27,Sociedade Esportiva Palmeiras
22,10/10/1996,2019/04/25,31.12.2023,direito,173,363794,01/01/2019,4.00,Carlos Eduardo,37,Sociedade Esportiva Palmeiras
27,05/06/1991,2019/04/25,31.12.2019,direito,183,106076,15/01/2019,15.00,Ricardo Goulart,11,Sociedade Esportiva Palmeiras
26,26/01/1993,2019/04/25,30.06.2021,direito,183,211397,10/02/2017,5.00,Miguel Borja,9,Sociedade Esportiva Palmeiras
27,08/05/1991,2019/04/25,30.06.2022,esquerdo,187,243541,12/07/2017,4.00,Deyverson,16,Sociedade Esportiva Palmeiras
32,19/11/1986,2019/04/25,31.12.2021,direito,171,55338,11/01/2017,2.50,Willian,29,Sociedade Esportiva Palmeiras
21,25/04/1998,2019/04/25,31.12.2023,direito,186,390638,01/01/2019,1.00,Arthur Cabral,39,Sociedade Esportiva Palmeiras
33,24/06/1985,2019/04/25,31.12.2020,esquerdo,187,42373,16/07/2017,4.00,Diego Alves,1,Clube de Regatas do Flamengo
27,27/01/1992,2019/04/25,30.04.2022,direito,194,177776,01/01/2013,0.9,César,37,Clube de Regatas do Flamengo
22,12/06/1996,2019/04/25,31.12.2020,direito,185,294817,01/01/2016,0.1,Thiago da Silva,,Clube de Regatas do Flamengo
20,03/06/1998,2019/04/25,31.12.2022,direito,188,401535,01/01/2017,0.05,Gabriel Batista,45,Clube de Regatas do Flamengo
25,17/08/1993,2019/04/25,31.12.2023,direito,183,172054,01/01/2019,6.00,Rodrigo Caio,3,Clube de Regatas do Flamengo
22,17/07/1996,2019/04/25,31.12.2022,direito,183,312678,01/01/2016,4.00,Léo Duarte,43,Clube de Regatas do Flamengo
32,11/08/1986,2019/04/25,31.12.2019,direito,193,55322,12/06/2017,1.00,Rhodolfo,44,Clube de Regatas do Flamengo
40,01/02/1979,2019/04/25,30.04.2019,direito,182,1599,01/01/2016,0.5,Juan,4,Clube de Regatas do Flamengo
20,10/03/1999,2019/04/25,30.07.2023,direito,185,549815,01/01/2018,0.1,Thuler,26,Clube de Regatas do Flamengo
20,05/09/1998,2019/04/25,31.12.2019,direito,185,587349,,0.05,Matheus Dantas,55,Clube de Regatas do Flamengo
21,02/02/1998,2019/04/25,31.12.2022,esquerdo,190,603137,,0.05,Rafael Santos,58,Clube de Regatas do Flamengo
26,14/09/1992,2019/04/25,31.12.2020,esquerdo,174,212209,06/02/2017,3.00,Renê,6,Clube de Regatas do Flamengo
26,03/07/1992,2019/04/25,31.12.2019,esquerdo,170,177690,01/01/2017,1.75,Miguel Trauco,13,Clube de Regatas do Flamengo
27,29/01/1992,2019/04/25,31.12.2022,direito,175,185966,02/01/2016,2.00,Rodinei,2,Clube de Regatas do Flamengo
33,14/02/1986,2019/04/25,31.12.2019,direito,173,76100,01/01/2016,1.00,Pará,21,Clube de Regatas do Flamengo
20,02/08/1998,2019/04/25,31.12.2019,direito,163,323868,06/11/2017,0.05,Kléber,31,Clube de Regatas do Flamengo
26,14/10/1992,2019/04/25,30.06.2022,direito,176,119333,28/01/2016,3.50,Gustavo Cuéllar,8,Clube de Regatas do Flamengo
24,26/07/1994,2019/04/25,31.12.2022,direito,178,273033,01/08/2018,2.00,Piris da Motta,25,Clube de Regatas do Flamengo
22,23/10/1996,2019/04/25,31.12.2020,direito,175,405768,01/06/2016,0.5,Ronaldo,16,Clube de Regatas do Flamengo
21,03/01/1998,2019/04/25,,direito,177,644157,,0.05,Hugo Moura,56,Clube de Regatas do Flamengo
26,03/12/1992,2019/04/25,31.12.2021,direito,181,210747,01/01/2016,3.00,Willian Arão,5,Clube de Regatas do Flamengo
24,01/06/1994,2019/04/25,31.12.2023,direito,174,248410,12/01/2019,13.00,Giorgian de Arrascaeta,14,Clube de Regatas do Flamengo
30,10/04/1989,2019/04/25,31.05.2021,esquerdo,174,52896,20/06/2017,10.00,Éverton Ribeiro,7,Clube de Regatas do Flamengo
34,28/02/1985,2019/04/25,31.12.2020,direito,173,4248,19/07/2016,4.00,Diego,10,Clube de Regatas do Flamengo
18,02/01/2001,2019/04/25,02.05.2020,direito,,432161,,0.05,Yuri,57,Clube de Regatas do Flamengo
17,19/01/2002,2019/04/25,31.12.2021,direito,185,627226,,,Reinier,19,Clube de Regatas do Flamengo
25,09/10/1993,2019/04/25,31.12.2022,ambos,180,213605,30/07/2018,8.00,Vitinho,11,Clube de Regatas do Flamengo
21,30/01/1998,2019/04/25,31.12.2020,direito,,644158,,0.05,Lucas Silva,53,Clube de Regatas do Flamengo
28,30/12/1990,2019/04/25,31.12.2021,direito,184,353108,23/01/2019,4.50,Bruno Henrique,27,Clube de Regatas do Flamengo
28,14/02/1991,2019/04/25,31.12.2020,direito,182,119197,27/01/2017,2.00,Orlando Berrío,28,Clube de Regatas do Flamengo
22,30/08/1996,2019/04/25,31.12.2019,esquerdo,178,244275,11/01/2019,13.00,Gabriel Barbosa,9,Clube de Regatas do Flamengo
18,16/12/2000,2019/04/25,31.12.2023,direito,178,372046,01/01/2017,5.00,Lincoln,29,Clube de Regatas do Flamengo
31,01/01/1988,2019/04/25,30.06.2021,esquerdo,182,119030,01/07/2018,3.00,Fernando Uribe,20,Clube de Regatas do Flamengo
18,02/08/2000,2019/04/25,31.12.2020,direito,,589911,,0.05,Wendel,50,Clube de Regatas do Flamengo
35,01/02/1984,2019/04/25,31.12.2020,direito,195,68727,24/01/2015,2.50,Vanderlei,1,Santos FC
28,22/07/1990,2019/04/25,31.12.2022,direito,192,106032,22/01/2019,0.9,Éverson,22,Santos FC
23,29/06/1995,2019/04/25,30.09.2021,direito,188,275412,01/07/2014,0.05,João Paulo,34,Santos FC
23,02/07/1995,2019/04/25,30.06.2022,direito,188,411662,01/01/2016,5.00,Lucas Veríssimo,28,Santos FC
26,24/03/1993,2019/04/25,31.01.2020,direito,196,208681,01/07/2012,2.50,Gustavo Henrique,6,Santos FC
26,20/01/1993,2019/04/25,21.01.2021,direito,190,260377,18/01/2019,2.00,Felipe Aguilar,26,Santos FC
28,05/12/1990,2019/04/25,30.01.2022,direito,186,226009,01/02/2017,1.25,Cléber Reis,,Santos FC
25,09/09/1993,2019/04/25,30.09.2022,direito,187,373150,19/02/2016,0.9,Luiz Felipe,2,Santos FC
23,28/03/1996,2019/04/25,30.06.2019,esquerdo,184,345084,28/03/2019,3.00,Jorge,,Santos FC
21,15/02/1998,2019/04/25,31.12.2021,esquerdo,175,587786,01/03/2019,0.9,Felipe Jonatan,,Santos FC
23,24/05/1995,2019/04/25,31.05.2019,esquerdo,180,525472,01/07/2015,0.5,Orinho,15,Santos FC
31,14/01/1988,2019/04/25,31.12.2020,direito,174,153905,25/06/2014,3.00,Victor Ferraz,4,Santos FC
26,23/02/1993,2019/04/25,31.12.2020,direito,178,373299,01/01/2017,0.5,Matheus Ribeiro,14,Santos FC
18,28/02/2001,2019/04/25,29.02.2020,direito,187,633377,,0.05,Kaique Rocha,13,Santos FC
26,01/03/1993,2019/04/25,31.12.2022,direito,182,167825,01/08/2013,2.50,Alison,5,Santos FC
26,15/08/1992,2019/04/25,31.05.2021,esquerdo,175,546000,01/06/2018,1.50,Diego Pituca,21,Santos FC
24,05/08/1994,2019/04/25,31.12.2021,direito,182,446408,01/01/2018,0.5,Yuri,25,Santos FC
23,13/09/1995,2019/04/25,31.12.2024,direito,185,519875,16/04/2019,0.075,Jobson,,Santos FC
20,12/07/1998,2019/04/25,31.12.2023,,177,401531,01/01/2018,0.05,Guilherme,18,Santos FC
25,15/10/1993,2019/04/25,30.06.2022,esquerdo,172,215212,09/06/2016,2.00,Jean Mota,41,Santos FC
20,22/06/1998,2019/04/25,31.12.2019,direito,181,578872,07/02/2019,0.5,Jean Lucas,30,Santos FC
16,30/08/2002,2019/04/25,31.01.2020,direito,170,574768,,0.05,Sandry,31,Santos FC
34,02/12/1984,2019/04/25,30.06.2021,direito,170,74373,24/07/2018,1.50,Carlos Sánchez,7,Santos FC
27,23/11/1991,2019/04/25,30.01.2020,direito,169,95280,07/02/2019,5.00,Christian Cueva,8,Santos FC
33,18/08/1985,2019/04/25,31.12.2020,esquerdo,188,39642,11/07/2018,1.50,Bryan Ruíz,22,Santos FC
19,21/05/1999,2019/04/25,30.06.2021,esquerdo,,634815,,0.05,Anderson Ceará,26,Santos FC
18,09/01/2001,2019/04/25,31.12.2022,direito,173,412363,21/07/2017,40.00,Rodrygo,9,Santos FC
25,20/03/1994,2019/04/25,30.06.2020,direito,172,182577,31/07/2018,4.00,Derlis González,17,Santos FC
21,30/06/1997,2019/04/25,31.12.2022,direito,158,312294,12/01/2019,2.50,Yeferson Soteldo,10,Santos FC
31,23/01/1988,2019/04/25,30.06.2021,esquerdo,187,123508,01/07/2016,2.00,Jonathan Copete,36,Santos FC
20,03/07/1998,2019/04/25,31.12.2021,direito,174,401534,01/01/2017,1.00,Arthur Gomes,23,Santos FC
27,24/02/1992,2019/04/25,31.12.2022,direito,173,162883,19/04/2018,3.00,Eduardo Sasha,27,Santos FC
22,11/02/1997,2019/04/25,16.02.2021,direito,170,440527,01/01/2018,0.1,Diogo Vitor,40,Santos FC
18,18/03/2001,2019/04/25,31.07.2020,direito,183,489893,01/11/2017,3.00,Yuri Alberto,29,Santos FC
20,04/10/1998,2019/04/25,30.10.2023,direito,187,596067,01/01/2019,0.1,Fellipe Cardoso,20,Santos FC
17,24/01/2002,2019/04/25,31.12.2021,,176,620477,,0.05,Kaio Jorge,26,Santos FC
32,02/09/1986,2019/04/25,31.12.2020,direito,191,52647,03/01/2019,2.00,Júlio César,22,Grêmio Foot-Ball Porto Alegrense
32,12/01/1987,2019/04/25,31.12.2020,esquerdo,187,67886,13/07/2017,0.9,Paulo Victor,1,Grêmio Foot-Ball Porto Alegrense
20,01/04/1999,2019/04/25,,,188,555016,01/01/2019,0.05,Brenno,24,Grêmio Foot-Ball Porto Alegrense
20,08/02/1999,2019/04/25,,direito,185,608218,,,Phelipe,18,Grêmio Foot-Ball Porto Alegrense
33,21/09/1985,2019/04/25,31.12.2021,direito,190,32568,01/01/2016,5.00,Pedro Geromel,3,Grêmio Foot-Ball Porto Alegrense
28,14/03/1991,2019/04/25,31.12.2022,esquerdo,184,145400,15/07/2016,5.00,Wálter Kannemann,4,Grêmio Foot-Ball Porto Alegrense
32,29/03/1987,2019/04/25,31.12.2019,esquerdo,184,52844,01/01/2015,1.00,Marcelo Oliveira,26,Grêmio Foot-Ball Porto Alegrense
30,16/08/1988,2019/04/25,31.12.2020,direito,184,80499,05/01/2018,1.00,Paulo Miranda,28,Grêmio Foot-Ball Porto Alegrense
21,10/10/1997,2019/04/25,31.12.2019,direito,188,445101,,0.2,Rodrigues,38,Grêmio Foot-Ball Porto Alegrense
30,28/02/1989,2019/04/25,31.12.2019,direito,191,216071,01/01/2015,0.1,Gabriel,89,Grêmio Foot-Ball Porto Alegrense
32,11/03/1987,2019/04/25,31.12.2021,esquerdo,179,182216,30/01/2017,1.75,Bruno Cortez,12,Grêmio Foot-Ball Porto Alegrense
21,06/07/1997,2019/04/25,30.06.2019,esquerdo,176,406676,24/07/2018,0.9,Juninho Capixaba,29,Grêmio Foot-Ball Porto Alegrense
19,18/05/1999,2019/04/25,30.05.2020,esquerdo,180,552548,,0.1,Guilherme Guedes,36,Grêmio Foot-Ball Porto Alegrense
22,30/06/1996,2019/04/25,31.12.2021,direito,178,347016,16/01/2017,0.9,Léo Gomes,6,Grêmio Foot-Ball Porto Alegrense
27,30/10/1991,2019/04/25,09.01.2021,direito,176,124701,08/03/2019,0.9,Rafael Galhardo,42,Grêmio Foot-Ball Porto Alegrense
40,23/10/1978,2019/04/25,31.12.2019,direito,176,29368,16/01/2017,0.5,Léo Moura,2,Grêmio Foot-Ball Porto Alegrense
19,29/09/1999,2019/04/25,,,,555012,,0.05,Felipe Felippi,35,Grêmio Foot-Ball Porto Alegrense
29,22/03/1990,2019/04/25,31.12.2020,ambos,175,435186,01/01/2018,1.50,Michel,5,Grêmio Foot-Ball Porto Alegrense
28,19/09/1990,2019/04/25,31.12.2019,direito,187,140682,03/01/2019,1.00,Rômulo,13,Grêmio Foot-Ball Porto Alegrense
33,14/09/1985,2019/04/25,31.12.2021,direito,184,50047,01/01/2016,1.75,Maicon,8,Grêmio Foot-Ball Porto Alegrense
21,19/12/1997,2019/04/25,31.12.2022,direito,175,552549,02/03/2018,0.9,Matheus Henrique,32,Grêmio Foot-Ball Porto Alegrense
23,12/05/1995,2019/04/25,31.12.2019,direito,182,392487,08/01/2018,0.4,Thaciano,16,Grêmio Foot-Ball Porto Alegrense
23,16/07/1995,2019/04/25,,ambos,183,405726,01/01/2016,0.2,Felipe Tontini,35,Grêmio Foot-Ball Porto Alegrense
21,16/04/1998,2019/04/25,,direito,179,570582,01/01/2019,,Darlan Mendes,37,Grêmio Foot-Ball Porto Alegrense
25,21/07/1993,2019/04/25,31.12.2019,direito,173,267420,06/01/2019,3.00,Walter Montoya,20,Grêmio Foot-Ball Porto Alegrense
22,22/04/1997,2019/04/25,,esquerdo,,627099,,0.05,Isaque,40,Grêmio Foot-Ball Porto Alegrense
20,07/05/1998,2019/04/25,31.12.2021,direito,183,351903,23/07/2018,0.9,Jean Pyerre,21,Grêmio Foot-Ball Porto Alegrense
21,27/12/1997,2019/04/25,31.12.2022,esquerdo,184,561214,03/01/2019,0.9,Thonny Anderson,27,Grêmio Foot-Ball Porto Alegrense
20,07/11/1998,2019/04/25,31.12.2019,esquerdo,178,351738,01/02/2015,0.5,Lincoln,17,Grêmio Foot-Ball Porto Alegrense
23,22/03/1996,2019/04/25,31.12.2022,direito,174,321239,01/01/2014,15.00,Everton,11,Grêmio Foot-Ball Porto Alegrense
25,25/06/1993,2019/04/25,31.12.2021,direito,174,229736,02/01/2018,2.50,Alisson,23,Grêmio Foot-Ball Porto Alegrense
22,24/02/1997,2019/04/25,31.12.2022,direito,175,520662,01/01/2018,0.9,Pepê,25,Grêmio Foot-Ball Porto Alegrense
28,29/05/1990,2019/04/25,31.12.2021,esquerdo,176,74758,28/06/2018,1.25,Marinho,30,Grêmio Foot-Ball Porto Alegrense
22,03/12/1996,2019/04/25,,esquerdo,174,553470,01/01/2018,0.05,Vico,15,Grêmio Foot-Ball Porto Alegrense
26,27/03/1993,2019/04/25,31.12.2020,direito,180,313106,01/01/2014,18.00,Luan,7,Grêmio Foot-Ball Porto Alegrense
33,10/05/1985,2019/04/25,31.12.2021,direito,178,37536,12/02/2019,5.00,Diego Tardelli,9,Grêmio Foot-Ball Porto Alegrense
28,27/09/1990,2019/04/25,31.12.2021,direito,184,104509,22/02/2019,2.75,André,90,Grêmio Foot-Ball Porto Alegrense
22,12/03/1997,2019/04/25,31.12.2019,esquerdo,184,425462,12/01/2019,1.50,Felipe Vizeu,47,Grêmio Foot-Ball Porto Alegrense
28,19/12/1990,2019/04/25,31.12.2019,direito,188,227671,01/01/2019,3.00,Tiago Volpi,23,São Paulo Futebol Clube
23,26/10/1995,2019/04/25,31.12.2022,esquerdo,188,371231,01/01/2018,1.50,Jean,1,São Paulo Futebol Clube
21,07/12/1997,2019/04/25,31.12.2019,direito,193,407841,01/01/2018,0.05,Lucas Paes,40,São Paulo Futebol Clube
20,10/08/1998,2019/04/25,,,,650517,,0.05,Júnior,41,São Paulo Futebol Clube
27,22/10/1991,2019/04/25,30.06.2022,direito,187,139867,05/07/2017,2.50,Robert Arboleda,5,São Paulo Futebol Clube
28,16/04/1991,2019/04/25,31.12.2020,direito,185,177534,22/08/2017,2.00,Bruno Alves,3,São Paulo Futebol Clube
31,21/08/1987,2019/04/25,31.12.2020,direito,184,68832,10/01/2018,1.00,Anderson Martins,4,São Paulo Futebol Clube
23,23/03/1996,2019/04/25,30.06.2019,direito,185,270191,01/01/2014,0.9,Lucão,,São Paulo Futebol Clube
23,16/03/1996,2019/04/25,31.12.2022,direito,186,435489,,0.05,Lucas Kal,32,São Paulo Futebol Clube
20,17/06/1998,2019/04/25,,,,631785,,0.05,Rodrigo,34,São Paulo Futebol Clube
20,02/02/1999,2019/04/25,,direito,188,574903,19/02/2019,,Walce,,São Paulo Futebol Clube
29,28/09/1989,2019/04/25,31.12.2020,esquerdo,178,225617,01/01/2014,3.00,Reinaldo,6,São Paulo Futebol Clube
23,06/01/1996,2019/04/25,31.12.2022,esquerdo,183,403296,01/01/2019,1.50,Léo,16,São Paulo Futebol Clube
32,21/05/1986,2019/04/25,31.12.2019,esquerdo,180,74314,01/01/2018,0.9,Edimar,36,São Paulo Futebol Clube
29,01/03/1990,2019/04/25,31.12.2019,direito,179,148751,16/07/2018,6.00,Bruno Peres,20,São Paulo Futebol Clube
22,01/04/1997,2019/04/25,31.12.2019,direito,174,552240,01/01/2019,0.5,Igor Vinícius,2,São Paulo Futebol Clube
31,06/04/1988,2019/04/25,31.12.2021,direito,186,110326,01/01/2018,4.00,Jucilei,8,São Paulo Futebol Clube
21,07/02/1998,2019/04/25,30.04.2023,esquerdo,175,401526,01/01/2018,2.50,Liziero,14,São Paulo Futebol Clube
31,30/01/1988,2019/04/25,31.12.2019,direito,179,54257,01/04/2014,1.50,Húdson,25,São Paulo Futebol Clube
29,06/06/1989,2019/04/25,31.12.2019,direito,176,71080,03/01/2019,1.25,Willian Farias,17,São Paulo Futebol Clube
19,14/05/1999,2019/04/25,31.12.2022,direito,175,574904,01/07/2018,0.5,Luan Santos,13,São Paulo Futebol Clube
26,30/08/1992,2019/04/25,31.12.2022,ambos,175,364261,31/03/2019,5.00,Tchê Tchê,28,São Paulo Futebol Clube
19,25/04/2000,2019/04/25,30.04.2023,esquerdo,175,412365,26/09/2018,0.05,Helinho,11,São Paulo Futebol Clube
24,05/09/1994,2019/04/25,31.12.2020,ambos,185,390368,03/04/2019,2.00,Vitor Bueno,,São Paulo Futebol Clube
21,28/07/1997,2019/04/25,31.12.2019,direito,171,419420,07/08/2018,2.00,Everton Felipe,18,São Paulo Futebol Clube
33,29/05/1985,2019/04/25,31.12.2021,ambos,180,52897,01/01/2019,1.50,Hernanes,15,São Paulo Futebol Clube
29,21/12/1989,2019/04/25,28.06.2020,direito,173,84377,01/07/2017,1.50,Jonathan Gómez,27,São Paulo Futebol Clube
37,19/07/1981,2019/04/25,31.12.2019,esquerdo,181,29091,29/01/2018,1.25,Nenê,10,São Paulo Futebol Clube
20,17/03/1999,2019/04/25,30.03.2023,,183,553459,01/01/2019,0.05,Igor Gomes,26,São Paulo Futebol Clube
